beam_id,gt_bar_id,gt_description,dxf_entity_found,dxf_entity_handle,dxf_entity_type,physical_bar_detected,physical_bar_id,owned_by_correct_beam,owner_beam_id,annotation_found,annotation_id,leader_found,leader_id,leader_chain_valid,role_correct,gt_role,model_role,diameter_correct,gt_diameter,model_diameter,quantity_correct,gt_quantity,model_quantity,engineering_object_found,engineering_object_id,vb1_consumed,steel_contribution_correct,first_failure_stage,failure_reason,confidence
B100,GT::B100::0000::TOP_MAIN,Top bars,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-655eb304,True,LDR::E8A36960,True,True,TOP_MAIN,TOP_MAIN,False,16,20,True,3.0,3.0,True,R13-B100-TOP_MAIN-0690c1,True,False,DIAMETER_RESOLUTION,excel_wrong_diameter,HIGH
B100,GT::B100::0001::TOP_EXTRA,Top bars -extra,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-655eb304,True,LDR::E8A36960,True,True,TOP_EXTRA,TOP_EXTRA,False,25,16,True,3.0,3.0,True,R13-B100-TOP_EXTRA-96a3cf,True,False,DIAMETER_RESOLUTION,excel_wrong_diameter,HIGH
B100,GT::B100::0002::TOP_EXTRA,Top bars -extra,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-655eb304,True,LDR::E8A36960,True,True,TOP_EXTRA,TOP_EXTRA,True,16,16,True,3.0,3.0,True,R13-B100-TOP_EXTRA-96a3cf,True,False,NO_FAILURE,excel_semantic_match,HIGH
B100,GT::B100::0003::BOTTOM_MAIN,Bottom bars,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-655eb304,True,LDR::E8A36960,True,False,BOTTOM_MAIN,UNKNOWN,False,20,UNKNOWN,False,3.0,0.0,False,UNKNOWN,False,False,ROLE_RESOLUTION,role_missing_role,HIGH
B100,GT::B100::0004::STIRRUP,Stirupps,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-29f62939,False,UNKNOWN,False,True,STIRRUP,STIRRUP,True,10,10,True,40.0,40.0,True,R13-B100-STIRRUP-ba9e2e,True,False,NO_FAILURE,excel_semantic_match,HIGH
B100,GT::B100::0005::STIRRUP_HOOK,C - Hook,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-29f62939,False,UNKNOWN,False,True,STIRRUP_HOOK,STIRRUP,True,10,10,True,40.0,40.0,True,R13-B100-STIRRUP-ba9e2e,False,False,LEADER_CHAIN,leader_broken_chain,MEDIUM
B100,GT::B100::0006::SPACER_BAR,Spacer bars,True,11D043C,LINE,True,BAR::SYN::B100::11D043C,True,B100,True,ANN-29f62939,False,UNKNOWN,False,True,SPACER_BAR,SPACER_BAR,True,25,25,False,5.0,2.0,True,R13-B100-SPACER_BAR-b87891,True,False,QUANTITY_RESOLUTION,excel_wrong_quantity,HIGH
B100A,GT::B100A::0000::TOP_MAIN,Top bars,True,1248205,LINE,True,BAR::2EDE9A87,True,B100A,True,ANN-13582c44,True,LDR::8A54B888,False,True,TOP_MAIN,TOP_MAIN,True,25,25,True,4.0,4.0,True,R13-B100A-TOP_MAIN-bee00a,True,False,NO_FAILURE,excel_semantic_match,HIGH
B100A,GT::B100A::0001::BOTTOM_MAIN,Bottom bars,True,1248205,LINE,True,BAR::2EDE9A87,True,B100A,True,ANN-13582c44,True,LDR::8A54B888,False,False,BOTTOM_MAIN,UNKNOWN,False,25,UNKNOWN,False,4.0,0.0,False,UNKNOWN,False,False,LEADER_CHAIN,leader_wrong_target,MEDIUM
B100A,GT::B100A::0002::STIRRUP,Stirupps,True,1248205,LINE,True,BAR::2EDE9A87,True,B100A,True,ANN-13582c44,True,LDR::8A54B888,True,True,STIRRUP,STIRRUP,True,10,10,False,21.0,30.0,True,R13-B100A-STIRRUP-f08949,True,False,QUANTITY_RESOLUTION,excel_wrong_quantity,HIGH
B100A,GT::B100A::0003::STIRRUP,Stirupps,True,1248205,LINE,True,BAR::2EDE9A87,True,B100A,True,ANN-13582c44,True,LDR::8A54B888,True,True,STIRRUP,STIRRUP,True,10,10,False,8.0,30.0,True,R13-B100A-STIRRUP-f08949,False,False,QUANTITY_RESOLUTION,quantity_overcount,HIGH
B100A,GT::B100A::0004::STIRRUP_HOOK,C - Hook,True,1248205,LINE,True,BAR::2EDE9A87,True,B100A,True,ANN-13582c44,True,LDR::8A54B888,True,True,STIRRUP_HOOK,STIRRUP,True,10,10,False,21.0,30.0,True,R13-B100A-STIRRUP-f08949,False,False,QUANTITY_RESOLUTION,quantity_overcount,HIGH
