beam_id,cohort,crop_height_mm,crop_width_mm,beam_height_mm,beam_width_mm,crop_height_to_beam_height_ratio,crop_width_to_beam_width_ratio,crop_area_to_beam_area_ratio,max_y_gap_mm,max_spatial_distance_mm,dominant_expander_id,dominant_expander_kind,dominant_y_gap_mm
B100,OTHER,3513.091,27623.972,2970.58,3900.0,1.1826,7.0831,8.3766,0.0,0.0,ANN-29f62939,annotation,0.0
B100A,OTHER,71876.66,5470.46,2978.98,3585.39,24.1279,1.5258,36.8136,68617.68,68617.68,BAR::2EDE9A87,reinforcement,68617.68
B101,OTHER,3510.481,27623.972,2967.97,3900.0,1.1828,7.0831,8.3778,0.0,0.0,ANN-d8c2de5e,annotation,0.0
B101A,OTHER,6433.46,7092.84,2978.98,3900.0,2.1596,1.8187,3.9276,1912.193,1967.845,LDR::14E9EF3F,leader,1912.193
B102,OTHER,5334.188,27673.972,4940.53,3900.0,1.0797,7.0959,7.6613,0.0,0.0,ANN-030581f0,annotation,0.0
B103,OTHER,15272.619,4379.082,4342.02,3900.0,3.5174,1.1228,3.9495,10488.01,10488.01,BAR::434B5DE2,reinforcement,10488.01
B119,OTHER,3642.2,27673.972,3402.2,3900.0,1.0705,7.0959,7.5965,0.0,0.0,ANN-b9d9e30b,annotation,0.0
B120,OTHER,39128.11,4415.543,4556.54,3900.0,8.5872,1.1322,9.7224,34291.57,34291.57,BAR::5A4CD996,reinforcement,34291.57
B121,OTHER,4378.856,19200.593,4072.27,3900.0,1.0753,4.9232,5.2939,0.0,0.0,ANN-3eb6504d,annotation,0.0
B122,OTHER,4194.017,19100.593,3524.02,3900.0,1.1901,4.8976,5.8287,69.997,69.997,LDR::6EFC52FE,leader,69.997
B123,OTHER,3772.407,19100.593,3152.41,3900.0,1.1967,4.8976,5.8608,19.997,967.998,LDR::AD5EDEFE,leader,19.997
B126,OTHER,4130.51,8014.899,3890.51,3900.0,1.0617,2.0551,2.1819,0.0,0.0,ANN-9f081a15,annotation,0.0
B128,OTHER,64810.69,4140.0,5070.81,3900.0,12.7811,1.0615,13.5677,46103.57,46103.57,BAR::D00A8F77,reinforcement,46103.57
B129,OTHER,4886.41,3900.0,4886.41,3900.0,1.0,1.0,1.0,0.0,0.0,ANN-7aec78cb,annotation,0.0
B130,OTHER,74866.08,4376.97,4790.84,3900.0,15.6269,1.1223,17.5381,36980.15,36980.15,BAR::681BD4B8,reinforcement,36980.15
B133,OTHER,3904.5,26412.043,3284.5,3900.0,1.1888,6.7723,8.0507,20.0,20.0,LDR::DF812AEF,leader,20.0
B133A,OTHER,5669.76,12582.0,5429.76,3900.0,1.0442,3.2262,3.3688,0.0,0.0,ANN-4f8e4022,annotation,0.0
B134,OTHER,4538.439,26462.043,4231.85,3900.0,1.0724,6.7851,7.2767,0.0,235.566,LDR::AD504166,leader,0.0
B134A,OTHER,5193.84,15590.793,4953.84,3900.0,1.0484,3.9976,4.1913,0.0,165.624,ANN-84f13ade,annotation,0.0
B135,OTHER,3794.843,11877.0,2691.44,3900.0,1.41,3.0454,4.2939,43.075,87.11,LDR::094A6793,leader,43.075
B135A,OTHER,3341.611,7204.823,2651.9,3900.0,1.2601,1.8474,2.3279,89.711,93.683,LDR::5EA435A9,leader,89.711
B136,OTHER,3992.899,26462.043,3485.76,3900.0,1.1455,6.7851,7.7723,0.0,0.0,ANN-499059d4,annotation,0.0
B139,OTHER,4090.786,4140.0,3784.2,3900.0,1.081,1.0615,1.1475,0.0,0.0,ANN-211806ab,annotation,0.0
B14,KNOWN_GOOD,4711.411,19246.429,4365.34,3900.0,1.0793,4.935,5.3262,0.0,0.0,ANN-81e0d3bd,annotation,0.0
B140,OTHER,3712.53,4090.116,3472.53,3596.73,1.0691,1.1372,1.2158,0.0,0.0,ANN-a14bf585,annotation,0.0
B141,OTHER,82348.14,6679.21,4634.47,2984.32,17.7686,2.2381,39.768,49471.42,49471.42,BAR::A0860018,reinforcement,49471.42
B142,OTHER,3581.354,4644.285,1878.16,3104.27,1.9068,1.4961,2.8528,1036.609,1036.609,LDR::57B2C20D,leader,1036.609
B143,OTHER,3423.474,7923.547,2790.7,3900.0,1.2267,2.0317,2.4923,32.774,2558.961,LDR::73287740,leader,32.774
B144,OTHER,6793.26,5597.939,6553.26,3900.0,1.0366,1.4354,1.4879,0.0,1315.558,LDR::F740B53B,leader,0.0
B145,OTHER,12227.323,3956.69,1422.71,3716.69,8.5944,1.0646,9.1494,9322.43,9322.43,BAR::7F395180,reinforcement,9322.43
B147,OTHER,3967.025,7126.697,3607.31,3900.0,1.0997,1.8274,2.0096,0.0,0.0,ANN-b03c8351,annotation,0.0
B148,OTHER,4700.776,7112.226,4201.36,3900.0,1.1189,1.8236,2.0404,0.0,725.949,LDR::6BC17CC9,leader,0.0
B149,OTHER,44517.29,4140.0,4236.97,3900.0,10.5069,1.0615,11.1534,37913.94,37913.94,BAR::90F8FE84,reinforcement,37913.94
B15,OTHER,5057.229,19007.049,3039.83,3900.0,1.6637,4.8736,8.108,674.875,709.514,LDR::167CC70D,leader,674.875
B150,OTHER,3987.4,4220.516,3747.4,3900.0,1.064,1.0822,1.1515,0.0,0.0,ANN-1357090a,annotation,0.0
B152,OTHER,4641.488,9465.366,3804.12,3900.0,1.2201,2.427,2.9613,237.368,237.368,LDR::CD377027,leader,237.368
B153,OTHER,3870.58,4329.771,3630.58,3900.0,1.0661,1.1102,1.1836,0.0,0.0,ANN-45bd742e,annotation,0.0
B154,OTHER,4545.069,4722.14,4278.19,3900.0,1.0624,1.2108,1.2863,0.0,0.0,ANN-01ac3fb3,annotation,0.0
B156,OTHER,4463.096,5997.665,4136.85,3900.0,1.0789,1.5379,1.6591,0.0,675.137,LDR::D9024025,leader,0.0
B159,OTHER,3757.991,8242.33,3087.99,3900.0,1.217,2.1134,2.572,80.0,690.028,BAR::CD4248B1,reinforcement,80.0
B16,OTHER,4654.901,19183.857,4308.83,3900.0,1.0803,4.9189,5.314,0.0,0.0,ANN-dae3dcf8,annotation,0.0
B161,OTHER,3117.35,5740.318,2877.35,3900.0,1.0834,1.4719,1.5946,0.0,12.311,LDR::C7959940,leader,0.0
B164,OTHER,4126.66,7212.05,3886.66,3900.0,1.0617,1.8492,1.9634,0.0,0.0,ANN-c013a79b,annotation,0.0
B165,OTHER,5280.79,4365.56,3188.39,3900.0,1.6563,1.1194,1.854,1812.4,1812.4,BAR::8427CCC1,reinforcement,1812.4
B166,OTHER,4160.23,7974.326,3855.39,3900.0,1.0791,2.0447,2.2064,0.0,154.917,LDR::6CF5BD6A,leader,0.0
B168,OTHER,63557.92,4140.0,3297.26,3900.0,19.276,1.0615,20.4622,59980.66,59980.66,BAR::FB780721,reinforcement,59980.66
B169,OTHER,3957.62,5740.318,3717.62,3900.0,1.0646,1.4719,1.5669,0.0,0.0,ANN-e20fb9e9,annotation,0.0
B17,OTHER,82932.461,6914.83,4215.34,3787.25,19.674,1.8258,35.9211,78331.05,78331.05,BAR::8AD900D0,reinforcement,78331.05
B170,OTHER,3429.777,4722.137,3123.19,3900.0,1.0982,1.2108,1.3297,0.0,0.0,ANN-895b6107,annotation,0.0
B173,OTHER,16223.07,4497.88,3555.88,3900.0,4.5623,1.1533,5.2617,10295.58,10295.58,BAR::F1794151,reinforcement,10295.58
B174,OTHER,26391.9,3998.43,1678.77,3758.43,15.721,1.0639,16.7249,24433.13,24433.13,BAR::8C00E127,reinforcement,24433.13
B175,OTHER,3906.729,3998.43,1044.99,3758.43,3.7385,1.0639,3.9773,2261.739,2261.739,LDR::22674C97,leader,2261.739
