beam_id,beam_present,reinforcement_present,annotation_present,leader_present,leader_chain_complete,evidence_clipped,neighbour_ambiguity,crop_qa_overall,expanded,pipeline_annotation_coverage_pct,pipeline_leader_coverage_pct,pipeline_reinforcement_coverage_pct,gt_bar_count,gt_reinforcement_evidence_present,engineering_crop,evidence_overlay
B100,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B100\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B100\evidence_overlay.png
B100A,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B100A\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B100A\evidence_overlay.png
B101,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B101\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B101\evidence_overlay.png
B101A,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,14,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B101A\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B101A\evidence_overlay.png
B102,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B102\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B102\evidence_overlay.png
B103,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B103\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B103\evidence_overlay.png
B119,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B119\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B119\evidence_overlay.png
B120,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B120\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B120\evidence_overlay.png
B121,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B121\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B121\evidence_overlay.png
B122,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B122\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B122\evidence_overlay.png
B123,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,10,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B123\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B123\evidence_overlay.png
B126,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,0,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B126\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B126\evidence_overlay.png
