intent_id,beam_id,annotation_id,raw_text,normalized_text,semantic_type,reinforcement_role,quantity_expression,quantity_value,quantity_status,quantity_source,diameter_expression,diameter_value_mm,spacing_expression,spacing_value_mm,spacing_values_mm,leg_expression,leg_count,unit,component_count,components_json,confidence,validation_status,validation_reasons,accepted,leader_id,ownership_id,source_handle,evidence_id,chain_semantic_type
QI::B100::ANN-29f62939,B100,ANN-29f62939,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B100::ANN-655eb304,B100,ANN-655eb304,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::E8A36960,,,,BarCallout
QI::B100A::ANN-13582c44,B100A,ANN-13582c44,4L-Y10@100/150/100C/C,4L-Y10@100/150/100C/C,STIRRUP,STIRRUP,4L-Y10@100/150/100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100/150/100,,100|150|100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,LDR::8A54B888,OWN::B100A::12481D8,,,StirrupNote
QI::B101::ANN-80ac063f,B101,ANN-80ac063f,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::76A1C107,,,,BarCallout
QI::B101::ANN-d8c2de5e,B101,ANN-d8c2de5e,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B101A::ANN-bfa9b021,B101A,ANN-bfa9b021,4L-Y10@100/150/100C/C,4L-Y10@100/150/100C/C,STIRRUP,STIRRUP,4L-Y10@100/150/100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100/150/100,,100|150|100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B101A::ANN-e67412bd,B101A,ANN-e67412bd,4-Y25,4-Y25,LONGITUDINAL_BAR,UNKNOWN,4-Y25,4,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 4, 'd': 25.0, 'expr': '4-Y25'}]",0.9,PASS,,True,,,,,BarCallout
QI::B102::ANN-030581f0,B102,ANN-030581f0,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B102::ANN-4b59ff37,B102,ANN-4b59ff37,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::B2D4C826,,,,BarCallout
QI::B102::ANN-4cd6f72d,B102,ANN-4cd6f72d,3-Y16,3-Y16,LONGITUDINAL_BAR,UNKNOWN,3-Y16,3,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 3, 'd': 16.0, 'expr': '3-Y16'}]",0.9,PASS,,True,,,,,BarCallout
QI::B103::ANN-19a711d6,B103,ANN-19a711d6,3-Y16,3-Y16,LONGITUDINAL_BAR,UNKNOWN,3-Y16,3,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 3, 'd': 16.0, 'expr': '3-Y16'}]",0.9,PASS,,True,LDR::22591B27,OWN::B103::11D0421,,,BarCallout
QI::B103::ANN-6d8bbdf4,B103,ANN-6d8bbdf4,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B103::ANN-8e897f60,B103,ANN-8e897f60,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::D2A8FCE1,OWN::B103::11D0423,,,BarCallout
QI::B119::ANN-1ae5aa17,B119,ANN-1ae5aa17,3-Y16,3-Y16,LONGITUDINAL_BAR,UNKNOWN,3-Y16,3,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 3, 'd': 16.0, 'expr': '3-Y16'}]",0.9,PASS,,True,LDR::F3CF6D90,,,,BarCallout
QI::B119::ANN-b9d9e30b,B119,ANN-b9d9e30b,3-Y16,3-Y16,LONGITUDINAL_BAR,UNKNOWN,3-Y16,3,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 3, 'd': 16.0, 'expr': '3-Y16'}]",0.9,PASS,,True,LDR::C17E6B9B,,,,BarCallout
QI::B120::ANN-8883ea68,B120,ANN-8883ea68,3-Y25,3-Y25,LONGITUDINAL_BAR,UNKNOWN,3-Y25,3,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 3, 'd': 25.0, 'expr': '3-Y25'}]",0.9,PASS,,True,LDR::4AAC215B,OWN::B120::11D1DD0,,,BarCallout
QI::B120::ANN-f4213b73,B120,ANN-f4213b73,3L-Y10@100C/150/100/C,3L-Y10@100C/150/100/C,STIRRUP,STIRRUP,3L-Y10@100C/150/100/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B121::ANN-3eb6504d,B121,ANN-3eb6504d,4L-Y12@100C/C,4L-Y12@100C/C,STIRRUP,STIRRUP,4L-Y12@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y12,12.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,LDR::F59901AE,,,,StirrupNote
QI::B121::ANN-73c67bd2,B121,ANN-73c67bd2,4-Y20,4-Y20,LONGITUDINAL_BAR,UNKNOWN,4-Y20,4,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 4, 'd': 20.0, 'expr': '4-Y20'}]",0.9,PASS,,True,LDR::F59901AE,,,,BarCallout
QI::B121::ANN-8a4731e2,B121,ANN-8a4731e2,4-Y20,4-Y20,LONGITUDINAL_BAR,UNKNOWN,4-Y20,4,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 4, 'd': 20.0, 'expr': '4-Y20'}]",0.9,PASS,,True,LDR::55FC3091,,,,BarCallout
