candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status,crop_qa_status,crop_w_mm,crop_h_mm,local_crop,beam_context_crop,vision_status,norm_hint
VC::B129::ANN-7aec78cb,B129,ANN-7aec78cb,4L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,3900.0,4886.410000000149,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B129__ANN-7aec78cb\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B129__ANN-7aec78cb\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B130::ANN-5c9dfa36,B130,ANN-5c9dfa36,4L-Y10@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4376.969999998808,74866.07999999821,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B130__ANN-5c9dfa36\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B130__ANN-5c9dfa36\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B139::ANN-211806ab,B139,ANN-211806ab,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,4140.0,4090.7856714501977,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B139__ANN-211806ab\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B139__ANN-211806ab\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B141::ANN-2f359490,B141,ANN-2f359490,4L-Y8@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,6679.209999997169,82348.1400000006,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B141__ANN-2f359490\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B141__ANN-2f359490\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B142::ANN-d4d1251b,B142,ANN-d4d1251b,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,4644.285000000149,3581.354189518839,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B142__ANN-d4d1251b\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B142__ANN-d4d1251b\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B143::ANN-f8e9d15b,B143,ANN-f8e9d15b,3L-Y10@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,7923.547088570893,3423.474443949759,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B143__ANN-f8e9d15b\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B143__ANN-f8e9d15b\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B144::ANN-48d936a3,B144,ANN-48d936a3,3L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,5597.938751090318,6793.259999997914,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B144__ANN-48d936a3\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B144__ANN-48d936a3\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B168::ANN-6786f17c,B168,ANN-6786f17c,3L-Y10@\X100/150/100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4140.0,63557.92000000179,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B168__ANN-6786f17c\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B168__ANN-6786f17c\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B175::ANN-25171e3b,B175,ANN-25171e3b,4L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PARTIAL,3998.429999999702,3906.7290860004723,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B175__ANN-25171e3b\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B175__ANN-25171e3b\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B178::ANN-41e4a18e,B178,ANN-41e4a18e,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,5045.059999998659,3852.909728270024,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B178__ANN-41e4a18e\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B178__ANN-41e4a18e\beam_context_crop.png,PENDING,possible_spacing_token_corruption
