candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status
VC::B100::ANN-29f62939,B100,ANN-29f62939,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B100::ANN-655eb304,B100,ANN-655eb304,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B100A::ANN-13582c44,B100A,ANN-13582c44,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B101::ANN-80ac063f,B101,ANN-80ac063f,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B101::ANN-d8c2de5e,B101,ANN-d8c2de5e,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B101A::ANN-bfa9b021,B101A,ANN-bfa9b021,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B101A::ANN-e67412bd,B101A,ANN-e67412bd,4-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B102::ANN-030581f0,B102,ANN-030581f0,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B102::ANN-4b59ff37,B102,ANN-4b59ff37,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B102::ANN-4cd6f72d,B102,ANN-4cd6f72d,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B103::ANN-19a711d6,B103,ANN-19a711d6,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B103::ANN-6d8bbdf4,B103,ANN-6d8bbdf4,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B103::ANN-8e897f60,B103,ANN-8e897f60,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B119::ANN-1ae5aa17,B119,ANN-1ae5aa17,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B119::ANN-b9d9e30b,B119,ANN-b9d9e30b,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B120::ANN-8883ea68,B120,ANN-8883ea68,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B120::ANN-f4213b73,B120,ANN-f4213b73,3L-Y10@100C/150/100/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B121::ANN-3eb6504d,B121,ANN-3eb6504d,4L-Y12@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B121::ANN-73c67bd2,B121,ANN-73c67bd2,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B121::ANN-8a4731e2,B121,ANN-8a4731e2,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B122::ANN-0b62504e,B122,ANN-0b62504e,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B122::ANN-2c570d23,B122,ANN-2c570d23,4L-Y12@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B123::ANN-3f905849,B123,ANN-3f905849,2-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B123::ANN-6d809bfc,B123,ANN-6d809bfc,4L-Y10@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B123::ANN-8ae336be,B123,ANN-8ae336be,6-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B126::ANN-9f081a15,B126,ANN-9f081a15,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B126::ANN-c442e075,B126,ANN-c442e075,5-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
