candidate_id,beam_id,raw_text,api_success,valid,interpretation_status,reinforcement_type,legs,diameter_mm,spacing_mm,evaluation,exact_match
VC::B129::ANN-7aec78cb,B129,4L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,4,12,[100],EXACT,True
VC::B139::ANN-211806ab,B139,2L-Y8@\X100C/C,True,True,RESOLVED,STIRRUP,2,8,[100],EXACT,True
VC::B142::ANN-d4d1251b,B142,2L-Y8@\X100C/C,True,True,RESOLVED,STIRRUP,2,8,[100],EXACT,True
VC::B143::ANN-f8e9d15b,B143,3L-Y10@\X100C/C,True,True,RESOLVED,STIRRUP,3,10,[100],EXACT,True
VC::B144::ANN-48d936a3,B144,3L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,3,12,[100],EXACT,True
VC::B175::ANN-25171e3b,B175,4L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,4,12,[100],EXACT,True
VC::B178::ANN-41e4a18e,B178,2L-Y8@\X100C/C,True,True,RESOLVED,STIRRUP,2,8,[100],EXACT,True
VC::B46::ANN-a09ab748,B46,4L-Y10@\X100/150/100C/C,True,True,RESOLVED,STIRRUP,4,10,"[100, 150, 100]",EXACT,True
VC::B47::ANN-f268d884,B47,4L-Y10@\X100/150/100C/C,True,True,RESOLVED,STIRRUP,4,10,"[100, 150, 100]",EXACT,True
VC::B58::ANN-a0c82bbe,B58,3L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,3,12,[100],EXACT,True
VC::B71::ANN-65a3f3f0,B71,4L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,4,12,[100],EXACT,True
VC::B71::ANN-e8fa1fe7,B71,3L-Y10@\X100C/C,True,True,RESOLVED,STIRRUP,3,10,[100],EXACT,True
VC::B74::ANN-5a3a4c53,B74,4L-Y10@\X100/125/100C/C,True,True,RESOLVED,STIRRUP,4,10,"[100, 125, 100]",EXACT,True
VC::B82::ANN-4679b76c,B82,4L-Y12@\X100C/C,True,True,RESOLVED,STIRRUP,4,12,[100],EXACT,True
