candidate_id,beam_id,annotation_text,deterministic_type,deterministic_role,deterministic_status,vision_type,vision_role,vision_status,operational_class,comparison_class,arbitration_action,conflict_fields,promotion_eligible,shadow_trigger_reason,hypothetical_change,actual_production_impact
VC::B100::ANN-29f62939,B100,3L-Y10@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B100::ANN-655eb304,B100,3-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B100A::ANN-13582c44,B100A,4L-Y10@100/150/100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,,NONE
VC::B101::ANN-80ac063f,B101,3-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B101::ANN-d8c2de5e,B101,3L-Y10@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B101A::ANN-bfa9b021,B101A,4L-Y10@100/150/100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B101A::ANN-e67412bd,B101A,4-Y25,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,UNKNOWN,PARTIAL,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ASSOCIATION,NONE
VC::B102::ANN-030581f0,B102,3L-Y10@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B102::ANN-4b59ff37,B102,3-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B102::ANN-4cd6f72d,B102,3-Y16,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ROLE,NONE
