beam_id,entity_id,stable_key,entity_type,recovery_potential,spatial_relationship,min_distance_to_production_envelope,recovery_eligible,recovery_exclusion_reason,recovery_candidate_generated,recovery_candidate_added_to_pool,recovery_outcome,existing_ownership_result,final_ownership_decision,recovery_changed_decision,neighbour_ambiguity,inside_other_beam_envelope,target_beam_context,already_in_production_candidate_pool,engine_path,qa42_assigned_ownership
B14,ARR::22DB9B6D,B14::ARR::22DB9B6D,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,ARR::30F41150,B14::ARR::30F41150,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,ARR::A8F7EF15,B14::ARR::A8F7EF15,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,ARR::C998927C,B14::ARR::C998927C,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,BEAM::B14,B14::BEAM::B14,Beam,HIGH,NEAR_OUTSIDE,273.517,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_beam_node_always_accepted,False
B14,LTGT::LDR::1CF838FB,B14::LTGT::LDR::1CF838FB,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,LTGT::LDR::498FFA19,B14::LTGT::LDR::498FFA19,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,LTGT::LDR::A259ED67,B14::LTGT::LDR::A259ED67,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B14,LTGT::LDR::CBE9B827,B14::LTGT::LDR::CBE9B827,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B15,ARR::08E2BDE4,B15::ARR::08E2BDE4,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B15,ARR::24616AD5,B15::ARR::24616AD5,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B15,LTGT::LDR::4A5B63BC,B15::LTGT::LDR::4A5B63BC,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B15,LTGT::LDR::90E69991,B15::LTGT::LDR::90E69991,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B16,ARR::3233CA58,B16::ARR::3233CA58,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B16,ARR::38A7AECD,B16::ARR::38A7AECD,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B16,ARR::4D6A952B,B16::ARR::4D6A952B,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B16,ARR::C0A8C940,B16::ARR::C0A8C940,LeaderArrow,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
B16,LTGT::LDR::29CF4AA9,B16::LTGT::LDR::29CF4AA9,LeaderTarget,HIGH,BOUNDARY,0.0,True,,True,False,already_in_production_pool,ACCEPTED,ACCEPTED,False,False,False,True,True,t18_satellite_via_evaluate_leader,False
